Title,Genre,Artist,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Scar Tissue,rock,Red Hot Chili Peppers,1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Californication (Deluxe Edition),82.0,N,1999-06-08,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,0.0,1.0,88.969,215907.0
I Kissed a Girl,rock,Katy Perry,005lwxGU1tms6HGELIcUv9,I Kissed A Girl,One Of The Boys,69.0,N,2008-06-17,0.702,0.76,-3.174,0.0684,0.00226,0.0,0.132,0.696,5.0,1.0,129.996,179640.0
Fix You,rock,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,X&Y,83.0,N,2005-06-07,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,3.0,1.0,138.178,295533.0
Zombie,rock,The Cranberries,7EZC6E7UjZe63f1jRmkWxt,Zombie,No Need To Argue (The Complete Sessions 1994-1995),82.0,N,1994-10-03,0.309,0.649,-8.994,0.035,0.0158,0.00591,0.367,0.312,7.0,1.0,166.915,306440.0
Heart-Shaped Box,rock,Nirvana,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,In Utero (Deluxe Edition),80.0,N,1993-09-21,0.256,0.641,-10.283,0.0552,0.199,0.0329,0.0853,0.382,1.0,1.0,203.006,281160.0
Everybody Wants to Rule the World,rock,Tears for Fears,4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),85.0,N,1985-02-25,0.645,0.795,-12.095,0.0527,0.347,0.00389,0.104,0.535,7.0,1.0,112.067,251489.0
Why'd You Only Call Me When You're High?,rock,Arctic Monkeys,086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,AM,85.0,N,2013-09-09,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,2.0,1.0,92.004,161124.0
Clint Eastwood,rock,Gorillaz,7yMiX7n9SBvadzox8T5jzT,Clint Eastwood,Gorillaz,69.0,N,2001,0.663,0.694,-8.627,0.171,0.0253,0.0,0.0698,0.525,10.0,0.0,167.953,340920.0
About a Girl,rock,Nirvana,2SHTKB8YYlawTGIuJ2b2ok,About A Girl,Bleach,79.0,N,1989-06-01,0.413,0.875,-7.48,0.031,5.13e-06,0.00058,0.209,0.575,6.0,0.0,131.951,168429.0
Bring Me to Life,rock,Evanescence,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Fallen,83.0,N,2003-03-04,0.331,0.943,-3.188,0.0698,0.00721,2.06e-06,0.242,0.296,4.0,0.0,94.612,235893.0
Reptilia,rock,The Strokes,57Xjny5yNzAcsxnusKmAfA,Reptilia,Room On Fire,75.0,N,2003-10-28,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,9.0,1.0,158.009,219827.0
Misery Business,rock,Paramore,6SpLc7EXZIPpy0sVko0aoU,Misery Business,Riot!,74.0,N,2007-06-11,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,1.0,1.0,172.977,211520.0
All the Small Things,rock,blink-182,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,Enema Of The State,81.0,N,1999-06-01,0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.685,0.0,1.0,148.708,167067.0
Otherside,rock,Red Hot Chili Peppers,64BbK9SFKH2jk86U3dGj2P,Otherside,Californication (Deluxe Edition),79.0,N,1999-06-08,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,0.0,1.0,123.229,255373.0
Paranoid Android,rock,Radiohead,6LgJvl0Xdtc73RJ1mmpotq,Paranoid Android,OK Computer,68.0,N,1997-05-28,0.251,0.848,-6.501,0.0579,0.0377,0.00591,0.0545,0.207,5.0,1.0,163.709,387213.0
Fluorescent Adolescent,rock,Arctic Monkeys,7e8utCy2JlSB8dRHKi49xM,Fluorescent Adolescent,Favourite Worst Nightmare (Standard Version),69.0,N,2007-04-24,0.646,0.813,-5.29,0.0288,0.00178,2.26e-05,0.144,0.821,6.0,0.0,112.115,173493.0
Basket Case,rock,Green Day,6L89mwZXSOwYl76YXfX13s,Basket Case,Dookie,82.0,N,1994-02-01,0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,3.0,1.0,85.064,181533.0
The Less I Know the Better,rock,Tame Impala,6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Currents,84.0,N,2015-07-17,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,4.0,1.0,116.879,216320.0
Chasing Cars,rock,Snow Patrol,5hnyJvgoWiQUYZttV4wXy6,Chasing Cars,Eyes Open,79.0,N,2006-01-01,0.561,0.595,-4.53,0.0274,0.199,6.47e-05,0.132,0.144,9.0,1.0,104.006,267960.0
Can't Stop,rock,Red Hot Chili Peppers,3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,By the Way (Deluxe Edition),84.0,N,2002-07-09,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,9.0,1.0,91.455,269000.0
