Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Levitating,Dua Lipa,Pop,39LLxExYz6ewLAcYrzQQyP,Levitating,Future Nostalgia,75.0,N,2020-03-27,0.695,0.884,-2.278,0.0753,0.0561,0.0,0.213,0.914,6.0,0.0,103.014,203808.0
Dance Monkey,Tones and I,Pop,2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,73.0,N,2019-10-17,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,6.0,0.0,98.027,209438.0
Kings & Queens,Ava Max,Pop,7a53HqqArd4b9NF4XAmlbI,Kings & Queens,Heaven & Hell,80.0,N,2020-09-18,0.637,0.69,-4.057,0.0405,0.00786,0.0,0.124,0.457,1.0,0.0,129.857,162399.0
In My Blood,Shawn Mendes,Pop,2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,Shawn Mendes,71.0,N,2018-05-25,0.622,0.711,-7.321,0.0665,0.0573,0.0,0.13,0.487,5.0,1.0,140.016,211360.0
Without Me,Halsey,Pop,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Manic,77.0,N,2020-01-17,0.752,0.488,-7.05,0.0705,0.293,9.2e-06,0.0936,0.533,6.0,1.0,136.07,201661.0
No Tears Left To Cry,Ariana Grande,Pop,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,Sweetener,74.0,N,2018-08-17,0.699,0.713,-5.507,0.0594,0.04,3.11e-06,0.294,0.354,9.0,0.0,121.993,205920.0
Dynamite,BTS,Pop,5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BE,78.0,N,2020-11-20,0.746,0.765,-4.41,0.0993,0.0112,0.0,0.0936,0.737,6.0,0.0,114.044,199054.0
Butter,BTS,Pop,1mWdTewIgB3gtBM3TOSFhB,Butter,"Butter (Hotter, Sweeter, Cooler)",65.0,N,2021-06-04,0.759,0.459,-5.187,0.0948,0.00323,0.0,0.0906,0.695,8.0,1.0,109.997,164442.0
Intentions,Justin Bieber ft. Quavo,Pop,3tCfFZPghiF08J5xxaSBox,Intentions (made popular by Justin Bieber ft. Quavo) [vocal version],Pop Party Pack 9 - Party Tyme (Vocal Versions),0.0,N,2024-02-16,0.829,0.459,-8.63,0.0628,0.448,0.0,0.102,0.89,9.0,1.0,148.001,212950.0
Say So,Doja Cat,Pop,3Dv1eDb0MEgF93GpLXlucZ,Say So,Hot Pink,74.0,N,2019-11-07,0.787,0.673,-4.583,0.159,0.264,3.35e-06,0.0904,0.779,11.0,0.0,110.962,237893.0
Beautiful People,Ed Sheeran ft. Khalid,Pop,58uaN8HmcxWPQRkvTls78h,Beautiful People (made popular by Ed Sheeran ft. Khalid) [backing version],Pop Male Hits 36-S - Party Tyme (Backing Versions),0.0,N,2024-07-12,0.78,0.343,-12.978,0.126,0.482,0.722,0.0801,0.699,8.0,1.0,92.972,195370.0
Talking to the Moon,Bruno Mars,Pop,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Doo-Wops & Hooligans,83.0,N,2010-05-11,0.498,0.59,-4.721,0.032,0.511,0.0,0.107,0.0784,1.0,0.0,145.867,217867.0
Electricity,Silk City & Dua Lipa,Pop,5N4erncE7kuUccm7zEmwzk,Electricity,Electricity,66.0,Y,2018-09-06,0.588,0.67,-6.439,0.0473,0.0104,3.33e-06,0.338,0.505,0.0,1.0,118.159,238173.0
Take You Dancing,Jason Derulo,Pop,3at4D3FZnJnYR0Mfcn6JSN,Take You Dancing,Nu King,63.0,N,2024-02-16,0.78,0.687,-5.22,0.0468,0.0411,0.0,0.0701,0.741,2.0,1.0,112.975,190306.0
Who's Laughing Now,Ava Max,Pop,1Pmp486RrLRkaEkE3HFHXP,Who's Laughing Now,Heaven & Hell,61.0,N,2020-09-18,0.648,0.641,-5.521,0.0389,0.00565,3.63e-06,0.109,0.505,7.0,1.0,184.021,180348.0
