Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Hypnotize,The Notorious B.I.G.,Rap,6Tsu3OsuMz4KEGKbOYd6A0,Hypnotize - 2007 Remaster,Greatest Hits,68.0,N,2007-03-02,0.895,0.694,-4.384,0.275,0.176,0.0,0.292,0.632,9.0,1.0,93.944,230000.0
Alright,Kendrick Lamar,Rap,3iVcZ5G6tvkXZkZKlMpIUs,Alright,To Pimp A Butterfly,79.0,N,2015-03-16,0.796,0.766,-5.974,0.238,0.0742,0.0,0.0827,0.558,7.0,1.0,110.034,219333.0
My Name Is,Eminem,Rap,75IN3CtuZwTHTnZvYM4qnJ,My Name Is,The Slim Shady LP,74.0,N,1999-02-23,0.869,0.68,-6.233,0.318,0.0416,1.12e-06,0.0914,0.815,1.0,1.0,85.519,268400.0
Bodak Yellow,Cardi B,Rap,6KBYefIoo7KydImq1uUQlL,Bodak Yellow,Invasion of Privacy,69.0,N,2018-04-06,0.926,0.703,-6.337,0.103,0.0659,0.0,0.231,0.485,11.0,0.0,125.022,223713.0
G.O.M.D.,J. Cole,Rap,0Thqjtu54vKMP06pwZkAWp,G.O.M.D,2014 Forest Hills Drive,70.0,N,2014-12-09,0.889,0.4,-10.586,0.26,0.322,1.32e-05,0.331,0.336,4.0,0.0,128.073,301064.0
No Role Modelz,J. Cole,Rap,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,2014 Forest Hills Drive,85.0,N,2014-12-09,0.69,0.521,-8.492,0.339,0.324,0.0,0.0534,0.494,10.0,0.0,100.028,292799.0
Work It,Missy Elliott,Rap,3jagJCUbdqhDSPuxP8cAqF,Work It,Under Construction,68.0,N,2002-11-12,0.884,0.677,-5.603,0.283,0.0778,0.0,0.0732,0.584,1.0,1.0,101.868,263227.0
Mask Off,Future,Rap,0VgkVdmE4gld66l8iyGjgx,Mask Off,FUTURE,82.0,N,2017-06-30,0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,2.0,1.0,150.062,204600.0
La Di Da Di,Slick Rick,Rap,0WYu233HGAjMAu9UK5iHtS,La-Di-Da-Di,The Art Of Storytelling,33.0,Y,1999-01-01,0.648,0.969,-6.992,0.45,0.688,0.0,0.986,0.581,6.0,0.0,89.453,276560.0
Breathe,Fabolous,Rap,7fuoqve1SOEBmhc2PoQTF0,Breathe,Real Talk (123),52.0,N,2004-10-11,0.713,0.91,-5.586,0.282,0.34,0.0,0.304,0.51,10.0,0.0,83.028,268960.0
N.Y. State of Mind,Nas,Rap,0trHOzAhNpGCsGBEu7dOJo,N.Y. State of Mind,Illmatic,71.0,N,1994-04-19,0.665,0.91,-4.682,0.223,0.0394,0.0,0.227,0.887,6.0,0.0,84.099,293973.0
Started From the Bottom,Drake,Rap,5DI9jxTHrEiFAhStG7VA8E,Started From the Bottom,Nothing Was The Same,62.0,N,2013-01-01,0.793,0.524,-7.827,0.156,0.0319,0.0,0.156,0.579,8.0,1.0,86.325,174133.0
Big Pimpin',Jay-Z ft. UGK,Rap,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,66.0,Y,1999-12-28,0.88,0.814,-6.307,0.14,0.168,0.00672,0.0584,0.942,11.0,0.0,138.083,283067.0
Lose Control,Missy Elliott,Rap,0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop),The Cookbook,65.0,Y,2005-07-04,0.904,0.813,-7.105,0.121,0.0311,0.00697,0.0471,0.81,4.0,0.0,125.461,226864.0
WAP,Cardi B ft. Megan Thee Stallion,Rap,0as4mfK1czqMH4T7nqactq,WAP (Made Popular By Cardi B ft. Megan Thee Stallion) [Instrumental Version],Party Tyme Karaoke - Instrumentals 29,0.0,N,2021-08-13,0.785,0.495,-11.373,0.15,2.97e-05,0.919,0.0667,0.0337,1.0,1.0,133.038,188475.0
It Was a Good Day,Ice Cube,Rap,2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,The Predator,78.0,N,1992-11-17,0.798,0.744,-5.328,0.136,0.33,0.000106,0.292,0.794,7.0,0.0,82.356,260000.0
