Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
Stay,Rihanna ft. Mikky Ekko,R&B,2JwS47l2MKrOji0ufc6Je0,Stay - Rihanna Ft Mikky Ekko Remix,A TAREFA,0.0,Y,2024-09-11,0.735,0.663,-14.712,0.047,0.00382,0.0561,0.1,0.528,0.0,1.0,117.999,268480.0
Pretty Wings,Maxwell,R&B,22NLm3IIR9NLG0cUYtmHMW,Pretty Wings - uncut,BLACKsummers'night (2009),61.0,N,2009-07-07,0.563,0.402,-10.496,0.0668,0.252,2.07e-06,0.0886,0.2,9.0,1.0,115.561,310520.0
Happy,Ashanti,R&B,6CbcdeTQKj0qTaZTt0xkdk,Happy,Ashanti,59.0,N,2002-01-01,0.727,0.515,-6.553,0.0289,0.241,3.74e-06,0.124,0.695,2.0,0.0,89.488,262227.0
Halo,Beyoncé,R&B,4JehYebiI9JE8sR8MisGVb,Halo,I AM...SASHA FIERCE,71.0,N,2008-11-17,0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,11.0,0.0,79.983,261640.0
So Sick,Ne-Yo,R&B,6brl7bwOHmGFkNw3MBqssT,So Sick,In My Own Words,78.0,N,2006-01-01,0.452,0.574,-8.336,0.311,0.245,0.0,0.189,0.578,6.0,1.0,92.795,207187.0
My Way,Usher,R&B,5PIveStlGgjVL54GpVcqxr,My Way,My Way,54.0,N,1997-09-16,0.815,0.521,-8.178,0.136,0.0105,0.0,0.0509,0.887,5.0,0.0,90.079,214853.0
Un-thinkable (I'm Ready),Alicia Keys,R&B,4JOP8ELK6AaeySe7sKe996,Un-thinkable (I'm Ready),The Element Of Freedom,66.0,N,2009-12-15,0.596,0.505,-7.892,0.0619,0.732,1.97e-05,0.106,0.335,7.0,1.0,86.097,249240.0
Finesse,Bruno Mars ft. Cardi B,R&B,62TB3eafpCT1dfhEfkmTZu,Finesse (Remix) [made popular by Bruno Mars ft. Cardi B] [backing version],Pop Party Pack 8 - Party Tyme (Backing Versions),0.0,N,2024-03-04,0.745,0.775,-8.148,0.0489,0.0189,0.179,0.0631,0.933,1.0,1.0,105.009,217200.0
Forever My Lady,Jodeci,R&B,2pY99npaZKTVAyw2DhV9Bo,Forever My Lady,Forever My Lady,58.0,N,1991-05-28,0.707,0.5,-15.199,0.0387,0.136,0.0,0.237,0.77,9.0,0.0,117.997,320360.0
Irreplaceable,Beyoncé,R&B,6RX5iL93VZ5fKmyvNXvF1r,Irreplaceable,B'Day Deluxe Edition,69.0,N,2007-05-29,0.447,0.694,-4.637,0.382,0.0293,5.46e-06,0.167,0.509,7.0,0.0,175.868,227853.0
Wicked Games,The Weeknd,R&B,249E7AgSyA4vhtXNEjQYb5,Wicked Games,Wicked Games,55.0,N,2012-01-01,0.659,0.606,-5.204,0.0313,0.00984,3.27e-06,0.359,0.325,9.0,1.0,114.071,323733.0
FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney",R&B,78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,FourFiveSeconds,77.0,Y,2015-01-24,0.582,0.272,-5.662,0.0501,0.875,0.0,0.13,0.354,2.0,1.0,205.846,188238.0
Sweet Lady,Tyrese,R&B,1Dx8rIZaXzZPvUQRF2j9hB,Sweet Lady,Tyrese,59.0,N,1998-08-31,0.588,0.522,-6.254,0.0383,0.233,0.0,0.24,0.584,9.0,0.0,66.024,290600.0
No Air,Jordin Sparks ft. Chris Brown,R&B,2q3xl7cGfXPRtujtloWqau,No Air (In the Style of Jordin Sparks ftg. Chris Brown) [Karaoke Version],Pop / Rock - Karaoke Vol. 388,0.0,N,2012-04-02,0.587,0.302,-17.317,0.0397,0.146,0.684,0.108,0.266,11.0,1.0,159.958,274128.0
Sure Thing,Miguel,R&B,0JXXNGljqupsJaZsgSbMZV,Sure Thing,All I Want Is You,86.0,N,2010-11-26,0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,11.0,0.0,81.001,195373.0
Try Sleeping with a Broken Heart,Alicia Keys,R&B,1yK9LISg5uBOOW5bT2Wm0i,Try Sleeping with a Broken Heart,The Element Of Freedom,59.0,N,2009-12-15,0.496,0.821,-5.155,0.112,0.158,0.246,0.13,0.549,5.0,1.0,110.977,249013.0
